,word,type,cefr,phon_br,phon_n_am,definition,example,uk,us
0,a,indefinite article,a1,/ə/,/ə/,used before countable or singular nouns referring to people or things that have not already been mentioned,a man/horse/unit,a_uk.mp3,a_us.mp3
1,abandon,verb,b2,/əˈbændən/,/əˈbændən/,"to leave somebody, especially somebody you are responsible for, with no intention of returning","abandon somebody, The baby had been abandoned by its mother.",abandon_uk.mp3,abandon_us.mp3
2,ability,noun,a2,/əˈbɪləti/,/əˈbɪləti/,the fact that somebody/something is able to do something,People with the disease may lose their ability to communicate.,ability_uk.mp3,ability_us.mp3
3,able,adjective,a2,/ˈeɪbl/,/ˈeɪbl/,"to have the skill, intelligence, opportunity, etc. needed to do something",You must be able to speak French for this job.,able_uk.mp3,able_us.mp3
4,about,adverb,a1,/əˈbaʊt/,/əˈbaʊt/,a little more or less than; a little before or after,It costs about $10.,about_uk.mp3,about_us.mp3
5,about,preposition,a1,/əˈbaʊt/,/əˈbaʊt/,on the subject of somebody/something; in connection with somebody/something,a book about flowers,about_uk.mp3,about_us.mp3
6,above,adverb,a1,/əˈbʌv/,/əˈbʌv/,at or to a higher place,Put it on the shelf above.,above_uk.mp3,above_us.mp3
7,above,preposition,a1,/əˈbʌv/,/əˈbʌv/,at or to a higher place or position than something/somebody,The water came above our knees.,above_uk.mp3,above_us.mp3
8,abroad,adverb,a2,/əˈbrɔːd/,/əˈbrɔːd/,in or to a foreign country,to go/travel/live/study abroad ,abroad_uk.mp3,abroad_us.mp3
9,absolute,adjective,b2,/ˈæbsəluːt/,/ˈæbsəluːt/,total and complete,I've joined a class for absolute beginners.,absolute_uk.mp3,absolute_us.mp3
10,absolutely,adverb,b1,/ˈæbsəluːtli/,/ˈæbsəluːtli/,used to emphasize that something is completely true,You're absolutely right.,absolutely_uk.mp3,absolutely_us.mp3
11,academic,adjective,b1,/ˌækəˈdemɪk/,/ˌækəˈdemɪk/,"connected with education, especially studying in schools and universities",high/low academic standards,academic_uk.mp3,academic_us.mp3
12,academic,noun,b2,/ˌækəˈdemɪk/,/ˌækəˈdemɪk/,a person who teaches and/or does research at a university or college,a leading/distinguished/prominent academic,academic_uk.mp3,academic_us.mp3
13,accept,verb,a2,/əkˈsept/,/əkˈsept/,"to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.",He asked me to marry him and I accepted.,accept_uk.mp3,accept_us.mp3
14,acceptable,adjective,b2,/əkˈseptəbl/,/əkˈseptəbl/,agreed or approved of by most people in a society,Children must learn socially acceptable behaviour.,acceptable_uk.mp3,acceptable_us.mp3
15,access,noun,b1,/ˈækses/,/ˈækses/,the opportunity or right to use something or to see somebody/something,High-speed internet access has become a necessity.,access_uk.mp3,access_us.mp3
16,access,verb,b1,/ˈækses/,/ˈækses/,to open a computer file or use a computer system,Most people use their phones to access the internet.,access_uk.mp3,access_us.mp3
17,accident,noun,a2,/ˈæksɪdənt/,/ˈæksɪdənt/,"an unpleasant event, especially in a vehicle, that happens unexpectedly and causes injury or damage",a car/road/traffic accident,accident_uk.mp3,accident_us.mp3
18,accommodation,noun,b1,/əˌkɒməˈdeɪʃn/,/əˌkɑːməˈdeɪʃn/,"a place to live, work or stay in",rented/temporary accommodation,accommodation_uk.mp3,accommodation_us.mp3
19,accompany,verb,b2,/əˈkʌmpəni/,/əˈkʌmpəni/,to travel or go somewhere with somebody/something,"accompany somebody/something + adv./prep., His wife accompanied him on the trip.",accompany_uk.mp3,accompany_us.mp3
20,according to,preposition,a2,/əˈkɔːdɪŋ tə/,/əˈkɔːrdɪŋ tə/,as stated or reported by somebody/something,"According to Mick, it's a great movie.",according to_uk.mp3,according to_us.mp3
21,account,noun,b1,/əˈkaʊnt/,/əˈkaʊnt/,"an arrangement that somebody has with a bank, etc. to keep money there, take some out, etc.",I don't have a bank account.,account_uk.mp3,account_us.mp3
22,account,verb,b2,/əˈkaʊnt/,/əˈkaʊnt/,to have the opinion that somebody/something is a particular thing,"be accounted + adj., In English law a person is accounted innocent until they are proved guilty.",account_uk.mp3,account_us.mp3
23,accurate,adjective,b2,/ˈækjərət/,/ˈækjərət/,correct and true in every detail,an accurate description/picture of something,accurate_uk.mp3,accurate_us.mp3
24,accuse,verb,b2,/əˈkjuːz/,/əˈkjuːz/,to say that somebody has done something wrong or is guilty of something,"accuse somebody of something, to accuse somebody of murder/a crime",accuse_uk.mp3,accuse_us.mp3
25,achieve,verb,a2,/əˈtʃiːv/,/əˈtʃiːv/,"to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time",He had finally achieved success.,achieve_uk.mp3,achieve_us.mp3
26,achievement,noun,b1,/əˈtʃiːvmənt/,/əˈtʃiːvmənt/,"a thing that somebody has done successfully, especially using their own effort and skill",the greatest scientific achievement of the decade,achievement_uk.mp3,achievement_us.mp3
27,acknowledge,verb,b2,/əkˈnɒlɪdʒ/,/əkˈnɑːlɪdʒ/,to accept that something is true,"acknowledge something, She refuses to acknowledge the need for reform.",acknowledge_uk.mp3,acknowledge_us.mp3
28,acquire,verb,b2,/əˈkwaɪə(r)/,/əˈkwaɪər/,"to gain something by your own efforts, ability or behaviour",She has acquired a good knowledge of English.,acquire_uk.mp3,acquire_us.mp3
